Haiti,HTI,GDP per capita (current US$),1829.593044
Hungary,HUN,GDP per capita (current US$),18728.12189
IBRD only,IBD,GDP per capita (current US$),7235.96127
IDA & IBRD total,IBT,GDP per capita (current US$),5684.927074
IDA total,IDA,GDP per capita (current US$),1465.396074
IDA blend,IDB,GDP per capita (current US$),1842.771049
Indonesia,IDN,GDP per capita (current US$),4332.709281
IDA only,IDX,GDP per capita (current US$),1281.63432
Isle of Man,IMN,GDP per capita (current US$),
India,IND,GDP per capita (current US$),2256.590409
Not classified,INX,GDP per capita (current US$),
Ireland,IRL,GDP per capita (current US$),100172.0793
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4091.209187
Iraq,IRQ,GDP per capita (current US$),4775.377454
Iceland,ISL,GDP per capita (current US$),68727.63666
Israel,ISR,GDP per capita (current US$),52170.71186
Italy,ITA,GDP per capita (current US$),35657.49756
Jamaica,JAM,GDP per capita (current US$),5183.581305
Jordan,JOR,GDP per capita (current US$),4103.258966
Japan,JPN,GDP per capita (current US$),39312.66037
Kazakhstan,KAZ,GDP per capita (current US$),10373.78979
Kenya,KEN,GDP per capita (current US$),2081.799855
Kyrgyz Republic,KGZ,GDP per capita (current US$),1276.700365
Cambodia,KHM,GDP per capita (current US$),1625.23502
Kiribati,KIR,GDP per capita (current US$),1606.462514
St. Kitts and Nevis,KNA,GDP per capita (current US$),18082.61019
"Korea, Rep.",KOR,GDP per capita (current US$),34997.78164
Kuwait,KWT,GDP per capita (current US$),
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),7728.033309
Lao PDR,LAO,GDP per capita (current US$),2535.623432
Lebanon,LBN,GDP per capita (current US$),4136.146347
Liberia,LBR,GDP per capita (current US$),675.6631858
Libya,LBY,GDP per capita (current US$),6357.19555
St. Lucia,LCA,GDP per capita (current US$),9414.226231
Latin America & Caribbean,LCN,GDP per capita (current US$),8327.60519
Least developed countries: UN classification,LDC,GDP per capita (current US$),1164.918316
Low income,LIC,GDP per capita (current US$),793.945722
Liechtenstein,LIE,GDP per capita (current US$),
Sri Lanka,LKA,GDP per capita (current US$),4013.687657
Lower middle income,LMC,GDP per capita (current US$),2572.705144
Low & middle income,LMY,GDP per capita (current US$),5494.396981
Lesotho,LSO,GDP per capita (current US$),1094.098185
